Scheme,flb,flb(test)
65536,2.856076690651074,2.713512257203125
73728,3.056145286076399,3.093054742607584
81920,3.292680018249479,3.175910947010742
90112,3.271376347497753,3.307452713885481
98304,3.517974770750813,3.333536457902180
106496,3.478461648075423,3.649154178992740
114688,3.843082326347298,3.709237242153613
122880,3.937289417712434,3.927680780435579
131072,4.634067892490234,4.600544271244921
