Number of connections,hash,consistent hash,othello hash,cheetah(rr),flb
0,0.714793,2.383593,0.601562,0.117188,0.61474
1,1.209793,4.583593,1.03906,0.117188,1.05224
2,2.199792,8.983592,1.91406,0.117188,1.92724
3,4.179793,17.783593,3.66406,0.117188,3.67724
4,8.139793,35.383593,7.16406,0.117188,7.17724
