response_time
1.048442
1.028126
1.035353
1.066692
1.008596
1.033363
1.047633
1.049128
1.003463
1.020097
1.074839
1.024005
1.029545
1.023672
1.031879
1.036981
1.044425
1.065192
1.028858
1.025958
1.043552
1.037608
1.022951
1.036023
1.037158
1.024820
1.063870
1.051227
1.005621
1.014901
1.029495
1.027494
