Number of connections,hash,consistent hash,round robin,power of two
16384,1.684565448740839,1.703070277192675,1.371889957611738,0.609459544026093
24576,2.815674194210761,2.811538961965331,2.219081941484472,0.935082917065917
32768,3.662368721439628,3.598884251078613,2.971659695365390,1.300131265688808
40960,4.389795906775546,4.757524919897871,3.765798758077636,1.577859452338261
49152,5.458495030636972,5.272307517698203,4.106915177918593,1.768127763673867
57344,6.187809680250175,6.053468009570820,5.169085470730937,1.991857577358730
65536,7.027021606642949,7.441034421924199,5.485097056766621,2.487262683722226
