size of cbf,60000,80000,100000
2.44,0.018506,0.007019,0.002812
3.66,0.005231,0.000828,0.000653
4.88,0.001678,0.000545,0.000109
6.1,0.000893,0.000000,0.000000
7.32,0.000392,0.000043,0.000087
8.54,0.000109,0.000109,0.000000
