response_time
1.032788
1.097453
1.110003
1.099221
1.196222
0.992739
1.077308
0.964933
1.156966
0.995266
1.037080
1.074909
1.137079
1.046526
1.018352
1.040480
1.041117
1.017362
1.083062
1.086068
1.090731
1.045285
0.996842
1.051479
1.042076
1.120534
1.053829
1.124086
1.041914
0.970612
1.055531
1.076291
